"","fips","SCC","Pollutant","Emissions","type","year"
"39","24510","220100129T","PM25-PRI",1.38,"ON-ROAD",1999
"40","24510","220100129X","PM25-PRI",6.94,"ON-ROAD",1999
"41","24510","220100131B","PM25-PRI",1.64,"ON-ROAD",1999
"42","24510","220100131T","PM25-PRI",0.62,"ON-ROAD",1999
"43","24510","220100131X","PM25-PRI",3.11,"ON-ROAD",1999
"44","24510","220100133B","PM25-PRI",1.53,"ON-ROAD",1999
"45","24510","220100133T","PM25-PRI",0.58,"ON-ROAD",1999
"46","24510","220100133X","PM25-PRI",2.89,"ON-ROAD",1999
"47","24510","220102023B","PM25-PRI",2.77,"ON-ROAD",1999
"48","24510","220102023T","PM25-PRI",1.05,"ON-ROAD",1999
"49","24510","220102023X","PM25-PRI",5.96,"ON-ROAD",1999
"50","24510","220102025B","PM25-PRI",1.32,"ON-ROAD",1999
"51","24510","220102025T","PM25-PRI",0.5,"ON-ROAD",1999
"52","24510","220102025X","PM25-PRI",2.83,"ON-ROAD",1999
"53","24510","220102027B","PM25-PRI",1.67,"ON-ROAD",1999
"54","24510","220102027T","PM25-PRI",0.63,"ON-ROAD",1999
"55","24510","220102027X","PM25-PRI",3.77,"ON-ROAD",1999
"56","24510","220102029B","PM25-PRI",1.38,"ON-ROAD",1999
"57","24510","220102029T","PM25-PRI",0.52,"ON-ROAD",1999
"58","24510","220102029X","PM25-PRI",3.11,"ON-ROAD",1999
"59","24510","220102031B","PM25-PRI",0.62,"ON-ROAD",1999
"60","24510","220102031T","PM25-PRI",0.23,"ON-ROAD",1999
"61","24510","220102031X","PM25-PRI",1.4,"ON-ROAD",1999
"62","24510","220102033B","PM25-PRI",0.57,"ON-ROAD",1999
"63","24510","220102033T","PM25-PRI",0.22,"ON-ROAD",1999
"64","24510","220102033X","PM25-PRI",1.3,"ON-ROAD",1999
"65","24510","220104023B","PM25-PRI",0.95,"ON-ROAD",1999
"66","24510","220104023T","PM25-PRI",0.36,"ON-ROAD",1999
"67","24510","220104023X","PM25-PRI",3.43,"ON-ROAD",1999
"68","24510","220104025B","PM25-PRI",0.45,"ON-ROAD",1999
"69","24510","220104025T","PM25-PRI",0.17,"ON-ROAD",1999
"70","24510","220104025X","PM25-PRI",1.63,"ON-ROAD",1999
"71","24510","220104027B","PM25-PRI",0.57,"ON-ROAD",1999
"72","24510","220104027T","PM25-PRI",0.22,"ON-ROAD",1999
"73","24510","220104027X","PM25-PRI",2.11,"ON-ROAD",1999
"74","24510","220104029B","PM25-PRI",0.47,"ON-ROAD",1999
"75","24510","220104029T","PM25-PRI",0.18,"ON-ROAD",1999
"76","24510","220104029X","PM25-PRI",1.74,"ON-ROAD",1999
"77","24510","220104031B","PM25-PRI",0.21,"ON-ROAD",1999
"78","24510","220104031T","PM25-PRI",0.08,"ON-ROAD",1999
"79","24510","220104031X","PM25-PRI",0.78,"ON-ROAD",1999
"80","24510","220104033B","PM25-PRI",0.2,"ON-ROAD",1999
"81","24510","220104033T","PM25-PRI",0.07,"ON-ROAD",1999
"82","24510","220104033X","PM25-PRI",0.73,"ON-ROAD",1999
"83","24510","220107023B","PM25-PRI",0.36,"ON-ROAD",1999
"84","24510","220107023T","PM25-PRI",0.15,"ON-ROAD",1999
"85","24510","220107023X","PM25-PRI",5.27,"ON-ROAD",1999
"86","24510","220107025B","PM25-PRI",0.17,"ON-ROAD",1999
"87","24510","220107025T","PM25-PRI",0.07,"ON-ROAD",1999
"88","24510","220107025X","PM25-PRI",2.5,"ON-ROAD",1999
"89","24510","220107027B","PM25-PRI",0.22,"ON-ROAD",1999
"90","24510","220107027T","PM25-PRI",0.09,"ON-ROAD",1999
"91","24510","220107027X","PM25-PRI",3.13,"ON-ROAD",1999
"92","24510","220107029B","PM25-PRI",0.18,"ON-ROAD",1999
"93","24510","220107029T","PM25-PRI",0.07,"ON-ROAD",1999
"94","24510","220107029X","PM25-PRI",2.58,"ON-ROAD",1999
"95","24510","220107031B","PM25-PRI",0.08,"ON-ROAD",1999
"96","24510","220107031T","PM25-PRI",0.03,"ON-ROAD",1999
"97","24510","220107031X","PM25-PRI",1.16,"ON-ROAD",1999
"98","24510","220107033B","PM25-PRI",0.07,"ON-ROAD",1999
"99","24510","220107033T","PM25-PRI",0.03,"ON-ROAD",1999
"100","24510","220107033X","PM25-PRI",1.08,"ON-ROAD",1999
"101","24510","220108023B","PM25-PRI",0.05,"ON-ROAD",1999
"102","24510","220108023T","PM25-PRI",0.01,"ON-ROAD",1999
"103","24510","220108023X","PM25-PRI",0.13,"ON-ROAD",1999
"104","24510","220108025B","PM25-PRI",0.02,"ON-ROAD",1999
"105","24510","220108025X","PM25-PRI",0.06,"ON-ROAD",1999
"106","24510","220108027B","PM25-PRI",0.03,"ON-ROAD",1999
"107","24510","220108027T","PM25-PRI",0.01,"ON-ROAD",1999
"108","24510","220108027X","PM25-PRI",0.08,"ON-ROAD",1999
"109","24510","220108029B","PM25-PRI",0.02,"ON-ROAD",1999
"110","24510","220108029X","PM25-PRI",0.07,"ON-ROAD",1999
"111","24510","220108031B","PM25-PRI",0.01,"ON-ROAD",1999
"112","24510","220108031X","PM25-PRI",0.03,"ON-ROAD",1999
"113","24510","220108033B","PM25-PRI",0.01,"ON-ROAD",1999
"114","24510","220108033X","PM25-PRI",0.03,"ON-ROAD",1999
"115","24510","223000123B","PM25-PRI",0.02,"ON-ROAD",1999
"116","24510","223000123T","PM25-PRI",0.01,"ON-ROAD",1999
"117","24510","223000123X","PM25-PRI",1.09,"ON-ROAD",1999
"118","24510","223000125B","PM25-PRI",0.01,"ON-ROAD",1999
"119","24510","223000125X","PM25-PRI",0.52,"ON-ROAD",1999
"120","24510","223000127B","PM25-PRI",0.01,"ON-ROAD",1999
"121","24510","223000127X","PM25-PRI",0.66,"ON-ROAD",1999
"122","24510","223000129B","PM25-PRI",0.01,"ON-ROAD",1999
"123","24510","223000129X","PM25-PRI",0.54,"ON-ROAD",1999
"124","24510","223000131X","PM25-PRI",0.24,"ON-ROAD",1999
"125","24510","223000133X","PM25-PRI",0.23,"ON-ROAD",1999
"126","24510","223006023B","PM25-PRI",0.02,"ON-ROAD",1999
"127","24510","223006023T","PM25-PRI",0.01,"ON-ROAD",1999
"128","24510","223006023X","PM25-PRI",0.92,"ON-ROAD",1999
"129","24510","223006025B","PM25-PRI",0.01,"ON-ROAD",1999
"130","24510","223006025X","PM25-PRI",0.44,"ON-ROAD",1999
"131","24510","223006027B","PM25-PRI",0.01,"ON-ROAD",1999
"132","24510","223006027X","PM25-PRI",0.55,"ON-ROAD",1999
"133","24510","223006029B","PM25-PRI",0.01,"ON-ROAD",1999
"134","24510","223006029X","PM25-PRI",0.46,"ON-ROAD",1999
"135","24510","223006031X","PM25-PRI",0.2,"ON-ROAD",1999
"136","24510","223006033X","PM25-PRI",0.19,"ON-ROAD",1999
"137","24510","223007123B","PM25-PRI",0.1,"ON-ROAD",1999
"138","24510","223007123T","PM25-PRI",0.04,"ON-ROAD",1999
"139","24510","223007123X","PM25-PRI",4.14,"ON-ROAD",1999
"140","24510","223007125B","PM25-PRI",0.05,"ON-ROAD",1999
"141","24510","223007125T","PM25-PRI",0.02,"ON-ROAD",1999
"142","24510","223007125X","PM25-PRI",1.97,"ON-ROAD",1999
"143","24510","223007127B","PM25-PRI",0.06,"ON-ROAD",1999
"144","24510","223007127T","PM25-PRI",0.02,"ON-ROAD",1999
"145","24510","223007127X","PM25-PRI",2.49,"ON-ROAD",1999
"146","24510","223007129B","PM25-PRI",0.05,"ON-ROAD",1999
"147","24510","223007129T","PM25-PRI",0.02,"ON-ROAD",1999
"148","24510","223007129X","PM25-PRI",2.05,"ON-ROAD",1999
"149","24510","223007131B","PM25-PRI",0.02,"ON-ROAD",1999
"150","24510","223007131T","PM25-PRI",0.01,"ON-ROAD",1999
"151","24510","223007131X","PM25-PRI",0.92,"ON-ROAD",1999
"152","24510","223007133B","PM25-PRI",0.02,"ON-ROAD",1999
"153","24510","223007133T","PM25-PRI",0.01,"ON-ROAD",1999
"154","24510","223007133X","PM25-PRI",0.86,"ON-ROAD",1999
"155","24510","223007223B","PM25-PRI",0.06,"ON-ROAD",1999
"156","24510","223007223T","PM25-PRI",0.03,"ON-ROAD",1999
"157","24510","223007223X","PM25-PRI",2.07,"ON-ROAD",1999
"158","24510","223007225B","PM25-PRI",0.03,"ON-ROAD",1999
"159","24510","223007225T","PM25-PRI",0.02,"ON-ROAD",1999
"160","24510","223007225X","PM25-PRI",0.98,"ON-ROAD",1999
"161","24510","223007227B","PM25-PRI",0.03,"ON-ROAD",1999
"162","24510","223007227T","PM25-PRI",0.02,"ON-ROAD",1999
"163","24510","223007227X","PM25-PRI",1.25,"ON-ROAD",1999
"164","24510","223007229B","PM25-PRI",0.03,"ON-ROAD",1999
"165","24510","223007229T","PM25-PRI",0.02,"ON-ROAD",1999
"166","24510","223007229X","PM25-PRI",1.03,"ON-ROAD",1999
"167","24510","223007231B","PM25-PRI",0.01,"ON-ROAD",1999
"168","24510","223007231T","PM25-PRI",0.01,"ON-ROAD",1999
"169","24510","223007231X","PM25-PRI",0.46,"ON-ROAD",1999
"170","24510","223007233B","PM25-PRI",0.01,"ON-ROAD",1999
"171","24510","223007233T","PM25-PRI",0.01,"ON-ROAD",1999
"172","24510","223007233X","PM25-PRI",0.43,"ON-ROAD",1999
"173","24510","223007323B","PM25-PRI",0.13,"ON-ROAD",1999
"174","24510","223007323T","PM25-PRI",0.08,"ON-ROAD",1999
"175","24510","223007323X","PM25-PRI",11.44,"ON-ROAD",1999
"176","24510","223007325B","PM25-PRI",0.06,"ON-ROAD",1999
"177","24510","223007325T","PM25-PRI",0.04,"ON-ROAD",1999
"178","24510","223007325X","PM25-PRI",5.43,"ON-ROAD",1999
"179","24510","223007327B","PM25-PRI",0.08,"ON-ROAD",1999
"180","24510","223007327T","PM25-PRI",0.05,"ON-ROAD",1999
"181","24510","223007327X","PM25-PRI",6.88,"ON-ROAD",1999
"182","24510","223007329B","PM25-PRI",0.07,"ON-ROAD",1999
"183","24510","223007329T","PM25-PRI",0.04,"ON-ROAD",1999
"184","24510","223007329X","PM25-PRI",5.67,"ON-ROAD",1999
"185","24510","223007331B","PM25-PRI",0.03,"ON-ROAD",1999
"186","24510","223007331T","PM25-PRI",0.02,"ON-ROAD",1999
"187","24510","223007331X","PM25-PRI",2.54,"ON-ROAD",1999
"188","24510","223007333B","PM25-PRI",0.03,"ON-ROAD",1999
"189","24510","223007333T","PM25-PRI",0.02,"ON-ROAD",1999
"190","24510","223007333X","PM25-PRI",2.37,"ON-ROAD",1999
"191","24510","223007423B","PM25-PRI",0.38,"ON-ROAD",1999
"192","24510","223007423T","PM25-PRI",0.64,"ON-ROAD",1999
"193","24510","223007423X","PM25-PRI",46.43,"ON-ROAD",1999
"194","24510","223007425B","PM25-PRI",0.18,"ON-ROAD",1999
"195","24510","223007425T","PM25-PRI",0.31,"ON-ROAD",1999
"196","24510","223007425X","PM25-PRI",22.05,"ON-ROAD",1999
"197","24510","223007427B","PM25-PRI",0.23,"ON-ROAD",1999
"198","24510","223007427T","PM25-PRI",0.39,"ON-ROAD",1999
"199","24510","223007427X","PM25-PRI",27.91,"ON-ROAD",1999
"200","24510","223007429B","PM25-PRI",0.19,"ON-ROAD",1999
"201","24510","223007429T","PM25-PRI",0.32,"ON-ROAD",1999
"202","24510","223007429X","PM25-PRI",23.03,"ON-ROAD",1999
"203","24510","223007431B","PM25-PRI",0.08,"ON-ROAD",1999
"204","24510","223007431T","PM25-PRI",0.14,"ON-ROAD",1999
"205","24510","223007431X","PM25-PRI",10.33,"ON-ROAD",1999
"206","24510","223007433B","PM25-PRI",0.08,"ON-ROAD",1999
"207","24510","223007433T","PM25-PRI",0.13,"ON-ROAD",1999
"208","24510","223007433X","PM25-PRI",9.61,"ON-ROAD",1999
"209","24510","223007523B","PM25-PRI",0.02,"ON-ROAD",1999
"210","24510","223007523T","PM25-PRI",0.01,"ON-ROAD",1999
"211","24510","223007523X","PM25-PRI",4.22,"ON-ROAD",1999
"212","24510","223007525B","PM25-PRI",0.01,"ON-ROAD",1999
"213","24510","223007525X","PM25-PRI",2,"ON-ROAD",1999
"214","24510","223007527B","PM25-PRI",0.01,"ON-ROAD",1999
"215","24510","223007527T","PM25-PRI",0.01,"ON-ROAD",1999
"216","24510","223007527X","PM25-PRI",2.53,"ON-ROAD",1999
"217","24510","223007529B","PM25-PRI",0.01,"ON-ROAD",1999
"218","24510","223007529X","PM25-PRI",2.09,"ON-ROAD",1999
"219","24510","223007531X","PM25-PRI",0.94,"ON-ROAD",1999
"220","24510","223007533X","PM25-PRI",0.87,"ON-ROAD",1999
"221","24510","2260003030","PM25-PRI",0.03,"NON-ROAD",1999
"222","24510","2260003040","PM25-PRI",0,"NON-ROAD",1999
"223","24510","2260004016","PM25-PRI",0.16,"NON-ROAD",1999
"224","24510","2260004021","PM25-PRI",2.75,"NON-ROAD",1999
"225","24510","2260004026","PM25-PRI",1.62,"NON-ROAD",1999
"226","24510","2260004031","PM25-PRI",1.73,"NON-ROAD",1999
"227","24510","2260004036","PM25-PRI",1.74,"NON-ROAD",1999
"228","24510","2260004071","PM25-PRI",0,"NON-ROAD",1999
"229","24510","2260006005","PM25-PRI",0.23,"NON-ROAD",1999
"230","24510","2260006010","PM25-PRI",1.66,"NON-ROAD",1999
"231","24510","2260006015","PM25-PRI",0,"NON-ROAD",1999
"232","24510","2265001050","PM25-PRI",0.13,"NON-ROAD",1999
"233","24510","2265003010","PM25-PRI",0.03,"NON-ROAD",1999
"234","24510","2265003020","PM25-PRI",0.1,"NON-ROAD",1999
"235","24510","2265003030","PM25-PRI",0.03,"NON-ROAD",1999
"236","24510","2265003040","PM25-PRI",0.1,"NON-ROAD",1999
"237","24510","2265003050","PM25-PRI",0,"NON-ROAD",1999
"238","24510","2265003060","PM25-PRI",0,"NON-ROAD",1999
"239","24510","2265003070","PM25-PRI",0.01,"NON-ROAD",1999
"240","24510","2265004011","PM25-PRI",0.12,"NON-ROAD",1999
"241","24510","2265004016","PM25-PRI",0.11,"NON-ROAD",1999
"242","24510","2265004026","PM25-PRI",0,"NON-ROAD",1999
"243","24510","2265004031","PM25-PRI",0.07,"NON-ROAD",1999
"244","24510","2265004036","PM25-PRI",0.03,"NON-ROAD",1999
"245","24510","2265004041","PM25-PRI",0.01,"NON-ROAD",1999
"246","24510","2265004046","PM25-PRI",0.01,"NON-ROAD",1999
"247","24510","2265004051","PM25-PRI",0.02,"NON-ROAD",1999
"248","24510","2265004056","PM25-PRI",0.11,"NON-ROAD",1999
"249","24510","2265004066","PM25-PRI",0.02,"NON-ROAD",1999
"250","24510","2265004071","PM25-PRI",0.35,"NON-ROAD",1999
"251","24510","2265004076","PM25-PRI",0.03,"NON-ROAD",1999
"252","24510","2265006005","PM25-PRI",0.71,"NON-ROAD",1999
"253","24510","2265006010","PM25-PRI",0.25,"NON-ROAD",1999
"254","24510","2265006015","PM25-PRI",0.12,"NON-ROAD",1999
"255","24510","2265006025","PM25-PRI",0.22,"NON-ROAD",1999
"256","24510","2265006030","PM25-PRI",0.43,"NON-ROAD",1999
"257","24510","2267003010","PM25-PRI",0.02,"NON-ROAD",1999
"258","24510","2267003020","PM25-PRI",1.8,"NON-ROAD",1999
"259","24510","2267003030","PM25-PRI",0.01,"NON-ROAD",1999
"260","24510","2267003040","PM25-PRI",0,"NON-ROAD",1999
"261","24510","2267003050","PM25-PRI",0,"NON-ROAD",1999
"262","24510","2267003070","PM25-PRI",0.01,"NON-ROAD",1999
"263","24510","2267004066","PM25-PRI",0,"NON-ROAD",1999
"264","24510","2267006005","PM25-PRI",0.05,"NON-ROAD",1999
"265","24510","2267006010","PM25-PRI",0.01,"NON-ROAD",1999
"266","24510","2267006015","PM25-PRI",0.02,"NON-ROAD",1999
"267","24510","2267006025","PM25-PRI",0.02,"NON-ROAD",1999
"268","24510","2267006030","PM25-PRI",0,"NON-ROAD",1999
"269","24510","2268003020","PM25-PRI",0.14,"NON-ROAD",1999
"270","24510","2268003060","PM25-PRI",0,"NON-ROAD",1999
"271","24510","2268003070","PM25-PRI",0,"NON-ROAD",1999
"272","24510","2268006005","PM25-PRI",0.02,"NON-ROAD",1999
"273","24510","2268006010","PM25-PRI",0,"NON-ROAD",1999
"274","24510","2268006015","PM25-PRI",0,"NON-ROAD",1999
"275","24510","2268006020","PM25-PRI",0.05,"NON-ROAD",1999
"276","24510","2270003010","PM25-PRI",0.99,"NON-ROAD",1999
"277","24510","2270003020","PM25-PRI",5.26,"NON-ROAD",1999
"278","24510","2270003030","PM25-PRI",2.05,"NON-ROAD",1999
"279","24510","2270003040","PM25-PRI",2.12,"NON-ROAD",1999
"280","24510","2270003050","PM25-PRI",0.22,"NON-ROAD",1999
"281","24510","2270003060","PM25-PRI",11.8,"NON-ROAD",1999
"282","24510","2270003070","PM25-PRI",2.43,"NON-ROAD",1999
"283","24510","2270004031","PM25-PRI",0,"NON-ROAD",1999
"284","24510","2270004036","PM25-PRI",0.09,"NON-ROAD",1999
"285","24510","2270004046","PM25-PRI",1.37,"NON-ROAD",1999
"286","24510","2270004056","PM25-PRI",0.18,"NON-ROAD",1999
"287","24510","2270004066","PM25-PRI",0.36,"NON-ROAD",1999
